epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8777,1.35113,3.1069,2.39655,1.59135,0,0.83309,0.08757,0.45169,0.20082,0.82258,0.08137,0.44991,0.19167,1.46572,3.74691,2.89599,2.07838,0,0.000654088,0.000654088,0.000654088
2,29.7433,1.33965,2.24013,1.68995,1.52281,0,0.63928,0.51821,0.51154,0.21679,0.55271,0.44803,0.40808,0.13615,1.83046,9.97798,2.58192,2.77631,0,0.00130768,0.00130768,0.00130768
3,36.6085,1.36602,2.20973,1.53746,1.5401,0,0.25826,0.25731,0.14524,0.04545,0.26085,0.25731,0.14722,0.04686,2.15055,4.48238,2.86157,3.32665,0,0.00194807,0.00194807,0.00194807
4,43.3087,1.35952,2.15236,1.38507,1.52906,0,0.62139,0.73684,0.67845,0.32122,0.66132,0.73081,0.70177,0.33796,1.65189,2.96,1.68333,2.56715,0,0.0019406,0.0019406,0.0019406
5,50.1503,1.33588,2.1517,1.28067,1.52119,0,0.74127,0.67836,0.7052,0.32665,0.75091,0.74042,0.76663,0.40714,1.73087,2.3592,1.58106,2.41608,0,0.0019208,0.0019208,0.0019208
6,57.4242,1.30477,2.08951,1.18965,1.49074,0,0.69097,0.69302,0.70982,0.336,0.6968,0.69887,0.71644,0.33474,1.74921,2.86011,1.52505,2.23684,0,0.001901,0.001901,0.001901
7,64.7564,1.26157,2.05523,1.12472,1.44924,0,0.75341,0.62536,0.69782,0.35097,0.72294,0.55556,0.60523,0.2842,1.64508,4.86288,1.70914,2.23065,0,0.0018812,0.0018812,0.0018812
8,72.0712,1.28734,2.06138,1.06755,1.46371,0,0.7868,0.72515,0.79628,0.42811,0.79315,0.73099,0.79503,0.42347,1.57122,2.42276,1.18885,2.06854,0,0.0018614,0.0018614,0.0018614
9,79.1023,1.27936,2.00482,1.09296,1.44916,0,0.81195,0.75439,0.82783,0.46912,0.84644,0.74139,0.81276,0.46996,1.38041,2.17005,1.21797,1.84822,0,0.0018416,0.0018416,0.0018416
10,85.6571,1.25569,2.02576,1.05947,1.44737,0,0.81494,0.84985,0.87262,0.50787,0.81417,0.84552,0.86629,0.52889,1.32435,1.91847,1.00349,1.77845,0,0.0018218,0.0018218,0.0018218
11,92.3956,1.22512,1.95228,1.00377,1.42949,0,0.83843,0.75868,0.79306,0.42028,0.84489,0.76453,0.79751,0.42687,1.50588,2.17645,1.16717,1.94673,0,0.001802,0.001802,0.001802
12,98.9751,1.17882,1.86833,0.95542,1.38383,0,0.79237,0.74269,0.82931,0.46539,0.76189,0.71345,0.79392,0.44001,1.47378,2.23306,1.22678,1.93819,0,0.0017822,0.0017822,0.0017822
13,105.423,1.20305,1.95233,1.00423,1.4247,0,0.78647,0.84001,0.86569,0.51432,0.80264,0.85618,0.88007,0.53191,1.41898,2.10739,0.92683,1.88629,0,0.0017624,0.0017624,0.0017624
14,112.17,1.15952,1.83123,0.94099,1.38921,0,0.67041,0.7193,0.69736,0.3787,0.71994,0.71345,0.72398,0.41359,1.5616,2.18897,1.89747,2.10701,0,0.0017426,0.0017426,0.0017426
15,118.912,1.15853,1.85394,0.9134,1.38404,0,0.80132,0.73117,0.81192,0.4316,0.8273,0.67233,0.77261,0.35414,1.53025,2.65793,1.21784,1.95742,0,0.0017228,0.0017228,0.0017228
16,125.867,1.14167,1.89959,0.92375,1.37815,0,0.84023,0.78363,0.85667,0.50426,0.80838,0.76481,0.82891,0.49578,1.33712,2.2208,0.93684,1.83909,0,0.001703,0.001703,0.001703
17,132.621,1.14123,1.85335,0.88329,1.36436,0,0.91792,0.83041,0.9107,0.55065,0.90974,0.82523,0.90013,0.55519,1.33839,2.14247,0.86214,1.78797,0,0.0016832,0.0016832,0.0016832
18,139.372,1.12898,1.83219,0.89287,1.3642,0,0.79456,0.8538,0.86894,0.52492,0.80675,0.85965,0.86919,0.53753,1.28736,1.89185,0.97488,1.72058,0,0.0016634,0.0016634,0.0016634
19,146.286,1.09169,1.81077,0.86043,1.33525,0,0.88528,0.81287,0.86595,0.47343,0.85838,0.80117,0.84288,0.47368,1.45804,2.34099,0.94557,1.95611,0,0.0016436,0.0016436,0.0016436
20,152.952,1.14804,1.84113,0.91385,1.36956,0,0.83817,0.74269,0.84881,0.53764,0.89286,0.74854,0.84907,0.52875,1.25059,2.09491,0.99355,1.6807,0,0.0016238,0.0016238,0.0016238
21,160.621,1.09592,1.77987,0.86397,1.3474,0,0.80925,0.8187,0.84215,0.53065,0.82783,0.83041,0.84809,0.53861,1.29371,2.0721,1.02709,1.72388,0,0.001604,0.001604,0.001604
22,168.601,1.07548,1.71417,0.8358,1.31794,0,0.82751,0.76023,0.8379,0.53546,0.83908,0.77778,0.86927,0.55049,1.26469,2.04179,0.85949,1.69921,0,0.0015842,0.0015842,0.0015842
23,175.844,1.071,1.74511,0.82999,1.31813,0,0.9076,0.88889,0.91055,0.57972,0.89566,0.87719,0.90479,0.54817,1.22979,2.06673,0.77802,1.70751,0,0.0015644,0.0015644,0.0015644
24,182.501,1.10848,1.73029,0.82612,1.35132,0,0.90174,0.80702,0.9089,0.57415,0.91907,0.81871,0.90993,0.58658,1.20862,1.87581,0.83706,1.63508,0,0.0015446,0.0015446,0.0015446
25,189.29,1.11135,1.74908,0.83462,1.34113,0,0.89659,0.8538,0.91445,0.57616,0.90738,0.85938,0.9177,0.57048,1.20183,1.94501,0.75833,1.6579,0,0.0015248,0.0015248,0.0015248
26,196.278,1.05212,1.7293,0.81475,1.30536,0,0.89469,0.84464,0.90542,0.56116,0.91314,0.86067,0.91362,0.57696,1.22985,1.99321,0.77955,1.73371,0,0.001505,0.001505,0.001505
27,203.072,1.06908,1.78023,0.82448,1.32106,0,0.86531,0.81287,0.8939,0.55147,0.88831,0.83723,0.91446,0.58512,1.31178,1.88968,0.83299,1.78134,0,0.0014852,0.0014852,0.0014852
28,209.887,1.04986,1.68573,0.78038,1.30681,0,0.82754,0.8538,0.89111,0.5513,0.82068,0.84795,0.88524,0.5571,1.21131,2.0051,0.86339,1.64397,0,0.0014654,0.0014654,0.0014654
29,216.971,1.03671,1.69988,0.77436,1.29912,0,0.87912,0.89313,0.90996,0.54373,0.88488,0.89898,0.9156,0.56679,1.28628,1.91919,0.7975,1.71016,0,0.0014456,0.0014456,0.0014456
30,224.428,1.07565,1.71386,0.79899,1.31145,0,0.92317,0.82456,0.91834,0.57624,0.93043,0.83041,0.91488,0.59564,1.2513,1.90773,0.80055,1.69223,0,0.0014258,0.0014258,0.0014258
31,231.992,1.04329,1.66049,0.77742,1.301,0,0.82243,0.79532,0.84488,0.47466,0.8531,0.74854,0.8299,0.48716,1.44557,2.54964,0.933,1.89431,0,0.001406,0.001406,0.001406
32,238.704,1.05626,1.67448,0.75965,1.30997,0,0.9119,0.84746,0.89264,0.58034,0.93758,0.8655,0.92273,0.58578,1.22416,1.91386,0.79646,1.65388,0,0.0013862,0.0013862,0.0013862
33,245.324,1.0779,1.69081,0.78528,1.32509,0,0.86093,0.88304,0.91416,0.59879,0.86093,0.88304,0.91327,0.61197,1.17233,1.77737,0.78809,1.58829,0,0.0013664,0.0013664,0.0013664
34,251.956,1.03526,1.64607,0.77215,1.29204,0,0.86293,0.84211,0.86379,0.48417,0.82776,0.81287,0.82839,0.46767,1.38645,2.22517,0.92152,1.81473,0,0.0013466,0.0013466,0.0013466
35,258.82,1.02496,1.63786,0.75485,1.2904,0,0.86921,0.80702,0.87849,0.58364,0.87551,0.81287,0.88217,0.58385,1.1852,1.81678,0.81447,1.60916,0,0.0013268,0.0013268,0.0013268
36,265.487,1.01176,1.61594,0.73827,1.29847,0,0.90441,0.87135,0.92063,0.58067,0.89554,0.85228,0.91237,0.58607,1.25491,1.84874,0.77157,1.69283,0,0.001307,0.001307,0.001307
37,272.104,1.00854,1.62932,0.73351,1.27678,0,0.81093,0.85283,0.85235,0.56462,0.83302,0.8752,0.88551,0.57061,1.18225,1.93598,0.86026,1.61897,0,0.0012872,0.0012872,0.0012872
38,278.608,0.98988,1.60651,0.72751,1.26556,0,0.87182,0.87505,0.91616,0.59652,0.86612,0.87012,0.91117,0.59028,1.22407,1.90523,0.73718,1.68051,0,0.0012674,0.0012674,0.0012674
39,285.239,0.97707,1.58894,0.70937,1.26406,0,0.89871,0.88304,0.93016,0.59619,0.85967,0.91228,0.93232,0.60649,1.18408,1.76222,0.72896,1.65386,0,0.0012476,0.0012476,0.0012476
40,292.786,1.00109,1.61144,0.71763,1.27422,0,0.91692,0.87719,0.90215,0.59863,0.90224,0.87135,0.88626,0.59844,1.19563,1.80933,0.74121,1.68012,0,0.0012278,0.0012278,0.0012278
41,299.528,1.01347,1.58628,0.71153,1.27716,0,0.87988,0.85671,0.90659,0.60663,0.86364,0.8538,0.90164,0.60659,1.12906,1.91568,0.7181,1.57702,0,0.001208,0.001208,0.001208
42,307.317,0.98085,1.57302,0.67381,1.24639,0,0.90507,0.89212,0.93293,0.6058,0.92755,0.89838,0.94099,0.62419,1.18857,1.74899,0.71206,1.64474,0,0.0011882,0.0011882,0.0011882
43,315.252,0.96518,1.58315,0.68716,1.25431,0,0.89615,0.80744,0.89387,0.54243,0.93331,0.81871,0.91327,0.58143,1.3022,1.87747,0.85537,1.77439,0,0.0011684,0.0011684,0.0011684
44,323.089,0.96976,1.55034,0.67418,1.24558,0,0.88787,0.83626,0.90349,0.58806,0.90813,0.8538,0.9123,0.61379,1.19859,1.74194,0.76088,1.63825,0,0.0011486,0.0011486,0.0011486
45,329.952,0.94602,1.55726,0.68298,1.23151,0,0.9169,0.88304,0.94418,0.63392,0.90902,0.90643,0.94108,0.64554,1.11267,1.7539,0.6298,1.59318,0,0.0011288,0.0011288,0.0011288
46,336.739,0.94136,1.55368,0.68659,1.22379,0,0.92839,0.80117,0.90656,0.57531,0.90143,0.83626,0.91062,0.59633,1.20161,1.8032,0.84941,1.62938,0,0.001109,0.001109,0.001109
47,343.379,0.94974,1.52436,0.68231,1.23383,0,0.93112,0.86964,0.92507,0.60193,0.95617,0.89304,0.94306,0.60947,1.2142,1.84347,0.7363,1.67076,0,0.0010892,0.0010892,0.0010892
48,350.761,0.95219,1.55393,0.67912,1.24122,0,0.8778,0.87135,0.91378,0.61597,0.8837,0.87719,0.92301,0.60357,1.10738,1.86085,0.65487,1.56031,0,0.0010694,0.0010694,0.0010694
49,357.521,0.93067,1.53185,0.65232,1.21935,0,0.88484,0.90643,0.93172,0.61886,0.9432,0.85965,0.935,0.61412,1.12647,1.82779,0.6529,1.58735,0,0.0010496,0.0010496,0.0010496
50,364.062,0.94739,1.52159,0.67044,1.23562,0,0.92933,0.92284,0.93774,0.64419,0.92933,0.92284,0.93673,0.65339,1.08104,1.76746,0.59915,1.5687,0,0.0010298,0.0010298,0.0010298
51,370.655,0.93459,1.57247,0.67165,1.22002,0,0.91249,0.89474,0.93722,0.61473,0.94878,0.86653,0.94784,0.62741,1.20298,1.81684,0.65188,1.64015,0,0.00101,0.00101,0.00101
52,378.54,0.90345,1.4658,0.62034,1.19874,0,0.91398,0.81871,0.91531,0.5916,0.92051,0.82456,0.92129,0.59884,1.17814,1.91167,0.68866,1.62937,0,0.0009902,0.0009902,0.0009902
53,385.07,0.94074,1.49497,0.61879,1.24097,0,0.87579,0.87135,0.92677,0.6273,0.87579,0.87135,0.92577,0.63069,1.15868,1.80642,0.68388,1.58905,0,0.0009704,0.0009704,0.0009704
54,391.524,0.92172,1.52742,0.62756,1.20771,0,0.9381,0.88623,0.93482,0.64133,0.9454,0.91138,0.9487,0.64354,1.09702,1.78486,0.61393,1.53794,0,0.0009506,0.0009506,0.0009506
