epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,481.982,1.98652,2.89025,0.0139,0.49079,0.34821,0.34399,0.15544,2.00196,2.0943,0.01819,0.00999489,0.00333163,0.00999489,0.00333163,0.00999489,0.00333163,0.00999489,0.00333163
2,908.534,2.0373,2.30356,0.0143,0.46456,0.3025,0.29789,0.13218,2.11368,2.34251,0.01988,0.019599,0.006533,0.019599,0.006533,0.019599,0.006533,0.019599,0.006533
3,1319.15,2.13726,2.46481,0.0157,0.38261,0.28375,0.2502,0.10426,2.1504,2.3995,0.01961,0.0288071,0.00960236,0.0288071,0.00960236,0.0288071,0.00960236,0.0288071,0.00960236
4,1725.36,2.19303,2.56366,0.01639,0.44789,0.33054,0.31923,0.13896,2.11648,2.16899,0.0195,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2127.1,2.1499,2.40941,0.01568,0.48283,0.36018,0.36234,0.15904,2.05511,2.04796,0.01798,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2530.75,2.09951,2.32193,0.01516,0.48438,0.38339,0.372,0.17245,1.97401,2.01602,0.01753,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,2938.21,2.05861,2.22742,0.01448,0.50587,0.40089,0.39911,0.18907,1.99299,1.88788,0.01753,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3343.67,2.02321,2.1563,0.01434,0.54306,0.42976,0.44644,0.21477,1.91784,1.81322,0.01643,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3745.93,2.01049,2.08548,0.01401,0.55321,0.435,0.46135,0.21879,1.9384,1.74953,0.01696,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,4155.79,1.99048,2.04483,0.01392,0.56702,0.44536,0.47474,0.22868,1.89593,1.69985,0.01667,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,4564.7,1.96908,2.00349,0.0138,0.57209,0.45125,0.47584,0.23459,1.85586,1.69168,0.01594,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4977.38,1.96141,1.94639,0.01325,0.57809,0.44161,0.47349,0.23183,1.87896,1.72265,0.01608,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,5379.23,1.9265,1.91237,0.01317,0.58668,0.47424,0.50191,0.2478,1.85402,1.60569,0.0158,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5786.17,1.92091,1.87589,0.01314,0.59149,0.47554,0.50855,0.25277,1.83035,1.63948,0.01568,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,6197.69,1.89953,1.83364,0.01282,0.58266,0.49411,0.51463,0.26045,1.81525,1.58894,0.01568,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,6607.29,1.88975,1.79624,0.01272,0.63837,0.49125,0.54679,0.27901,1.79832,1.52485,0.01516,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,7013.24,1.87752,1.76931,0.01264,0.6223,0.50304,0.54957,0.28172,1.78745,1.51022,0.01496,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,7417.89,1.85982,1.74166,0.01251,0.6279,0.50774,0.56237,0.28816,1.76693,1.47339,0.01472,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,7827.16,1.84508,1.70941,0.01234,0.64361,0.5205,0.57074,0.29528,1.76367,1.44071,0.01471,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,8228.69,1.83899,1.66927,0.01217,0.65456,0.53179,0.58463,0.30343,1.74427,1.43244,0.01447,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,8630.79,1.82363,1.65224,0.0122,0.66845,0.53446,0.59934,0.31328,1.73946,1.39991,0.01437,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,9031.91,1.81121,1.61235,0.01198,0.65546,0.55321,0.60209,0.31634,1.71641,1.39339,0.01397,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,9435.9,1.79146,1.57729,0.01187,0.67801,0.545,0.61099,0.32253,1.73228,1.35172,0.01426,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,9840.48,1.78332,1.56224,0.01164,0.67907,0.56143,0.62063,0.32909,1.70841,1.34202,0.01403,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,10244.4,1.75984,1.53609,0.01146,0.67967,0.56643,0.62411,0.3339,1.70285,1.32705,0.01388,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,10644.2,1.75534,1.49907,0.01129,0.68566,0.58193,0.63761,0.34222,1.69061,1.28131,0.01375,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,11047.8,1.74601,1.4653,0.01124,0.69767,0.57661,0.64638,0.34839,1.67915,1.28386,0.01374,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,11452.1,1.72689,1.43185,0.01101,0.701,0.58988,0.65236,0.35183,1.68794,1.25991,0.01383,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,11858.3,1.70889,1.41123,0.01106,0.69058,0.58786,0.65404,0.35797,1.66653,1.2599,0.0136,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,12265.2,1.68766,1.3768,0.01095,0.723,0.58857,0.66926,0.36528,1.64757,1.21764,0.0134,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,12668.7,1.68556,1.36199,0.01078,0.72229,0.60143,0.67092,0.36832,1.65236,1.2124,0.01355,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,13070.4,1.6666,1.32786,0.01064,0.72346,0.60123,0.67865,0.37209,1.65243,1.1873,0.01364,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,13478,1.65253,1.29847,0.01053,0.74106,0.59911,0.67918,0.37469,1.64187,1.19682,0.01343,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,13887,1.62778,1.27272,0.01037,0.7421,0.60518,0.68509,0.37857,1.64246,1.19175,0.01351,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,14289.9,1.61082,1.25718,0.01024,0.7267,0.61964,0.68618,0.38236,1.63349,1.1855,0.01339,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
