epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,262.891,2.02878,2.84719,0.01399,0.44875,0.28589,0.28938,0.13293,2.0884,2.31267,0.01915,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993
2,494.393,2.04787,2.28643,0.01431,0.45163,0.29161,0.28508,0.12448,2.1301,2.40634,0.01977,0.019594,0.00653133,0.019594,0.00653133,0.019594,0.00653133,0.019594,0.00653133
3,710.972,2.14152,2.43013,0.01515,0.37965,0.25357,0.22133,0.09006,2.31431,2.65384,0.02226,0.0288022,0.00960073,0.0288022,0.00960073,0.0288022,0.00960073,0.0288022,0.00960073
4,914.743,2.20128,2.53041,0.01597,0.4459,0.30518,0.28027,0.12274,2.15907,2.34964,0.01939,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1118.3,2.15835,2.37652,0.01537,0.46829,0.35179,0.34139,0.15378,2.06179,2.13723,0.01821,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1330.07,2.0934,2.27767,0.01488,0.50606,0.36857,0.37618,0.16695,2.07191,1.99942,0.0182,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1540.55,2.09486,2.2143,0.0145,0.49038,0.35875,0.36172,0.16208,2.06847,2.04768,0.01806,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1742.7,2.03792,2.12538,0.01432,0.55078,0.39911,0.42729,0.20434,1.99326,1.83263,0.01758,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1943.6,2.01124,2.06973,0.01387,0.55209,0.43375,0.44652,0.212,1.96729,1.82143,0.01684,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2150.34,2.01246,2.03641,0.01365,0.57993,0.42255,0.45694,0.22092,1.93969,1.75873,0.01665,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2354.73,1.9858,1.99839,0.01364,0.57518,0.43964,0.46828,0.22855,1.91857,1.72387,0.01654,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
