epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.143,2.08413,2.37837,1.82477,0.46642,0.29554,0.29123,0.13068,2.10466,2.13283,1.7163,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993
2,360.154,1.93858,2.09765,1.66538,0.42582,0.31946,0.2885,0.12508,2.10364,2.13373,1.67576,0.019594,0.00653133,0.019594,0.00653133,0.019594,0.00653133,0.019594,0.00653133
3,529.044,1.99034,2.15142,1.6884,0.37584,0.26071,0.22729,0.09355,2.24606,2.32489,1.79188,0.0288022,0.00960073,0.0288022,0.00960073,0.0288022,0.00960073,0.0288022,0.00960073
4,698.424,2.01792,2.19866,1.71513,0.43941,0.33901,0.31055,0.13933,2.03506,2.0559,1.64086,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,865.423,1.94333,2.06868,1.65698,0.46163,0.34911,0.3356,0.15247,2.00285,2.10781,1.63604,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1034.78,1.88506,1.96429,1.63311,0.51933,0.34839,0.37302,0.17393,1.98077,1.87632,1.59174,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1203.27,1.8701,1.90581,1.60509,0.55158,0.41018,0.42846,0.20489,1.8873,1.70304,1.53871,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1378.05,1.8101,1.82735,1.57327,0.55343,0.41737,0.44772,0.21231,1.86215,1.68273,1.53238,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1546.96,1.79024,1.78288,1.5563,0.56363,0.41518,0.43277,0.20334,1.87826,1.70659,1.52506,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1714.85,1.77432,1.74779,1.53584,0.58054,0.41196,0.44674,0.21494,1.85182,1.69864,1.49982,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1886.77,1.75188,1.70385,1.52607,0.57792,0.44125,0.46716,0.23076,1.81829,1.5893,1.4832,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2056.4,1.72815,1.66337,1.50437,0.60644,0.45625,0.49454,0.24504,1.7956,1.54812,1.46977,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2225.05,1.71879,1.64794,1.5018,0.61634,0.45325,0.49899,0.24907,1.77925,1.52588,1.44693,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2395.27,1.70308,1.61384,1.48702,0.59258,0.46964,0.50074,0.25304,1.75193,1.53157,1.44633,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2561.64,1.68611,1.59212,1.47554,0.62659,0.46804,0.50864,0.26121,1.74279,1.48939,1.43655,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2734.34,1.66125,1.55796,1.46676,0.62664,0.49872,0.53302,0.27377,1.73074,1.4439,1.42553,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2903.05,1.65017,1.53471,1.45197,0.63396,0.48896,0.54007,0.27589,1.72413,1.41064,1.42204,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3075.77,1.6447,1.51314,1.43982,0.63347,0.51214,0.55628,0.28678,1.7093,1.37754,1.41473,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3245.31,1.6386,1.51191,1.43382,0.62093,0.52107,0.55806,0.28834,1.70495,1.36991,1.40824,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3415.56,1.61422,1.46914,1.41558,0.65102,0.51732,0.57453,0.29811,1.67538,1.34252,1.38484,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3582.05,1.60819,1.44864,1.41404,0.65566,0.52482,0.57832,0.29952,1.67166,1.32468,1.38357,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3758.28,1.58961,1.42159,1.39979,0.6494,0.51696,0.57366,0.30014,1.66176,1.32391,1.37487,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3934.14,1.58607,1.39937,1.39283,0.6694,0.54161,0.59265,0.31236,1.64939,1.29726,1.36137,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4111.45,1.57039,1.39129,1.38881,0.66382,0.53696,0.58691,0.31085,1.64163,1.28897,1.36075,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4284.9,1.56106,1.36823,1.37194,0.66722,0.55036,0.60654,0.32383,1.62661,1.24907,1.35051,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4468.26,1.55205,1.35369,1.376,0.67574,0.54375,0.60423,0.32221,1.61793,1.24741,1.34548,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4638.22,1.52971,1.32452,1.36012,0.69486,0.54929,0.6112,0.33096,1.59896,1.23955,1.33355,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4814.41,1.51949,1.30983,1.34934,0.68527,0.56393,0.62035,0.33523,1.60452,1.21376,1.33873,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4988.4,1.51805,1.29303,1.34014,0.68216,0.57286,0.62713,0.33794,1.60218,1.20775,1.33415,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,5164.81,1.48907,1.26434,1.33223,0.69775,0.56339,0.62804,0.34099,1.59285,1.19316,1.33035,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5339.82,1.48003,1.25753,1.32799,0.69317,0.57268,0.63616,0.34422,1.58889,1.18544,1.32768,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5510.03,1.47132,1.23082,1.31169,0.68774,0.58393,0.63987,0.35087,1.57804,1.16965,1.32167,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5676.61,1.45712,1.20804,1.30694,0.68979,0.5925,0.64475,0.35376,1.5731,1.15988,1.3212,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5842.39,1.43819,1.2003,1.29853,0.70814,0.5914,0.65186,0.35761,1.56158,1.15238,1.31339,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6007.68,1.43496,1.17918,1.29052,0.72231,0.57857,0.65042,0.35908,1.55521,1.14734,1.30219,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
