epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,504.437,1.87904,2.15692,1.64156,0.38604,0.30411,0.26585,0.11393,2.13704,2.18752,1.70051,0.00999489,0.00333163,0.00999489,0.00333163,0.00999489,0.00333163,0.00999489,0.00333163
2,963.651,1.97635,2.14236,1.7068,0.39209,0.25929,0.23521,0.09843,2.18871,2.65302,1.75769,0.0199289,0.00664297,0.0199289,0.00664297,0.0199289,0.00664297,0.0199289,0.00664297
3,1413.89,2.08431,2.36433,1.8063,0.26437,0.22375,0.16144,0.06814,2.32068,2.56657,1.91581,0.0297969,0.00993231,0.0297969,0.00993231,0.0297969,0.00993231,0.0297969,0.00993231
4,1861.38,2.08138,2.38346,1.84062,0.32064,0.23497,0.18721,0.07951,2.2714,2.54285,1.88293,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,2308.87,2.00236,2.22785,1.78153,0.475,0.33125,0.33219,0.14927,2.03718,2.0733,1.72481,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,2756.4,1.93005,2.07451,1.71525,0.49635,0.35831,0.36657,0.17017,1.96433,1.91209,1.6418,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,3204.23,1.90103,2.01252,1.68451,0.51243,0.37411,0.38167,0.17443,1.99633,1.87496,1.64475,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,3652.16,1.86442,1.92683,1.64947,0.52117,0.40304,0.41451,0.19583,1.92364,1.76123,1.61055,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,4100.32,1.82661,1.8654,1.63741,0.57369,0.40828,0.4329,0.20468,1.87387,1.73549,1.57087,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,4547.72,1.80745,1.83204,1.6106,0.58782,0.42679,0.46684,0.22972,1.82758,1.6124,1.5335,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,4994.95,1.78592,1.75999,1.59383,0.58113,0.43786,0.46517,0.22794,1.82875,1.60328,1.54189,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,5442.33,1.75548,1.73638,1.56687,0.57484,0.45375,0.47825,0.23783,1.81835,1.55598,1.52486,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,5891.08,1.73561,1.686,1.5497,0.59162,0.44518,0.48769,0.23956,1.79889,1.53604,1.50824,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,6338.98,1.71808,1.65681,1.54456,0.58949,0.46732,0.49212,0.2478,1.75565,1.50506,1.48514,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,6787.21,1.71384,1.63619,1.53309,0.60563,0.46643,0.49975,0.25338,1.7667,1.5077,1.48646,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,7235.96,1.69821,1.60778,1.51998,0.61363,0.47815,0.52181,0.2669,1.74364,1.4381,1.46655,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,7684.23,1.69838,1.60172,1.51699,0.6157,0.47863,0.52674,0.27044,1.71056,1.43076,1.44947,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,8133.08,1.67783,1.56861,1.51127,0.62914,0.49864,0.54275,0.27723,1.71331,1.39691,1.44784,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,8581.17,1.66646,1.543,1.49333,0.62425,0.49911,0.54256,0.28244,1.71053,1.37259,1.45672,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,9029.73,1.65073,1.53081,1.48926,0.64767,0.49589,0.5474,0.28579,1.69097,1.37105,1.4387,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,9477.11,1.64264,1.51878,1.47909,0.63989,0.52107,0.56543,0.29631,1.67592,1.34357,1.42061,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,9925.4,1.64759,1.50097,1.47814,0.65283,0.51914,0.57193,0.3012,1.66291,1.32978,1.41296,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,10374.8,1.61631,1.47806,1.46296,0.66434,0.53286,0.58047,0.30433,1.64869,1.31398,1.41141,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,10823.8,1.61126,1.44834,1.45445,0.66639,0.5265,0.58264,0.31028,1.63673,1.28442,1.39746,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,11272.7,1.60443,1.43888,1.45274,0.6625,0.53945,0.59263,0.31329,1.64277,1.28279,1.39768,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,11722,1.59307,1.42388,1.4393,0.66222,0.5556,0.59839,0.32006,1.62676,1.25512,1.39108,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,12170.1,1.58727,1.40617,1.43627,0.66907,0.55857,0.60203,0.31968,1.61698,1.24231,1.3826,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
