epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,254.001,1.87258,2.29023,1.59669,0.5168,0.33844,0.35052,0.16095,1.96887,1.89276,1.5668,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993,0.00998979,0.00332993
2,474.631,1.92858,2.03866,1.60954,0.34481,0.23344,0.19741,0.08528,2.26229,2.56708,1.77731,0.0199238,0.00664127,0.0199238,0.00664127,0.0199238,0.00664127,0.0199238,0.00664127
3,687.626,2.04094,2.24118,1.71185,0.27498,0.23357,0.16599,0.06803,2.32906,2.83,1.89872,0.0297919,0.00993062,0.0297919,0.00993062,0.0297919,0.00993062,0.0297919,0.00993062
4,921.254,2.06523,2.27329,1.756,0.35552,0.26893,0.23085,0.09672,2.20559,2.30631,1.77878,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,1151.32,1.98588,2.10823,1.68265,0.46333,0.35732,0.34319,0.15323,2.03991,1.95594,1.6525,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,1382.51,1.91897,2.00006,1.64058,0.50702,0.35071,0.36085,0.16369,1.97787,1.95829,1.61871,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1614.71,1.87279,1.93342,1.60603,0.52711,0.37946,0.39229,0.18048,1.96342,1.84526,1.60815,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1846.6,1.84347,1.86413,1.58253,0.50994,0.38179,0.38484,0.17745,1.94961,1.82677,1.57744,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,252.891,1.81587,1.80955,1.54655,0.54137,0.41268,0.42993,0.20933,1.86623,1.71427,1.52823,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,489.323,1.78435,1.76461,1.54545,0.53829,0.42179,0.43382,0.20732,1.88417,1.69328,1.53246,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,728.722,1.7762,1.71898,1.51726,0.54423,0.43446,0.44915,0.21987,1.83388,1.62727,1.48376,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,250.569,1.71854,1.65106,1.48229,0.56184,0.4525,0.47259,0.2364,1.8183,1.59246,1.47477,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,481.023,1.68608,1.60191,1.47175,0.56601,0.45071,0.47334,0.23418,1.8122,1.54671,1.47678,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,758.281,1.67681,1.57117,1.44872,0.60377,0.46339,0.49204,0.24494,1.80607,1.49832,1.46827,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,996.276,1.71852,1.61726,1.48017,0.59368,0.4699,0.50764,0.25402,1.7551,1.49722,1.43703,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1240.6,1.70639,1.59548,1.46851,0.61675,0.47536,0.52357,0.26647,1.7485,1.44829,1.42039,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,246.603,1.64165,1.50291,1.42432,0.60856,0.49139,0.53075,0.2729,1.73839,1.41888,1.42589,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,476.598,1.61805,1.46676,1.4155,0.60969,0.49512,0.52461,0.26479,1.76126,1.42333,1.43744,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
